
                                      CodeAnalysis - Version 1.8
    ==============================================================================================
     Wed Nov  7 19:43:03 2018
     Path: "C:\Users\Ganesh\Desktop\SU\CSE681_SMA\Project_3\Project_3\Toker"
     Args: *.cs, Toker.cs, /v, /m, /r, /f, /p
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
                  Toker.cs    function                             getTok     536       6       1
                  Toker.cs       class                      AlphaNumState     548      20       4
                  Toker.cs    function                      AlphaNumState     550       3       1
                  Toker.cs    function                             getTok     556      10       2
                  Toker.cs       class             SingleLineCommentState     572      25       4
                  Toker.cs    function             SingleLineCommentState     574       3       1
                  Toker.cs    function                             getTok     580      15       2
                  Toker.cs       class              MultiLineCommentState     601      24       4
                  Toker.cs    function              MultiLineCommentState     603       3       1
                  Toker.cs    function                             getTok     608      15       2
                  Toker.cs       class                   SingleQuoteState     628      22       4
                  Toker.cs    function                   SingleQuoteState     630       3       1
                  Toker.cs    function                             getTok     635      13       2
                  Toker.cs       class                   DoubleQuoteState     653      26       4
                  Toker.cs    function                   DoubleQuoteState     655       3       1
                  Toker.cs    function                             getTok     661      16       2
                  Toker.cs       class                   PunctuationState     683      43       5
                  Toker.cs    function                   PunctuationState     685       3       1
                  Toker.cs    function                             getTok     694      30       3
                  Toker.cs       class                    TokenSourceFile     735      88      15
                  Toker.cs    function                    TokenSourceFile     742       3       1
                  Toker.cs    function                               open     748      13       3
                  Toker.cs    function                              close     764       3       1
                  Toker.cs    function                               next     773      17       3
                  Toker.cs    function                               peek     799      16       4
                  Toker.cs    function                                end     818       3       1
                  Toker.cs       class                          DemoToker     826      91      12
                  Toker.cs    function              testTokerWithComments     833      29       5
                  Toker.cs    function           testTokerWithoutComments     863      29       5
                  Toker.cs    function                               Main     893      22       1

                          Functions Exceeding Metric Limits and Public Data
    ==============================================================================================
                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------



    searched     7 dirs
   processed     6 files
